account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,subscription_count,avg_mrr,total_estimated_revenue,max_tenure_days,latest_plan_tier,latest_billing_frequency,latest_auto_renew_flag,had_upgrade,had_downgrade,subscription_churn_flag,ticket_count,avg_resolution_time_hours,avg_first_response_minutes,avg_satisfaction_score,escalation_rate,high_priority_ticket_count,total_usage_events,total_usage_count,total_usage_duration_secs,active_days,feature_diversity,total_errors,beta_feature_usage_rate,last_usage_date,days_since_last_activity,churn_event_flag,churn_event_count,latest_churn_date,churn_reason,total_refund_amount,had_reactivation,final_churn_flag,tickets_per_month,revenue_per_day,error_rate,engagement_score,engagement_segment
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,10,1260.3,11805.366666666667,72,Basic,monthly,True,True,False,False,2.0,23.0,91.0,3.0,0.0,2.0,55,535,152339,55,27,38,0.07272727272727272,2024-12-10,21,1.0,2.0,2024-12-05,competitor,0.0,False,1,0.8333333333333334,163.96342592592592,0.07102803738317758,0.5416666666666666,Medium Engagement
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,8,1250.5,123138.23333333334,468,Pro,monthly,True,True,False,False,3.0,38.0,73.33333333333333,4.0,0.0,2.0,35,355,101136,35,23,14,0.05714285714285714,2024-12-29,2,0.0,0.0,,not_churned,0.0,,1,0.19230769230769232,263.1158831908832,0.03943661971830986,0.206,Low Engagement
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,15,1219.0666666666666,32961.76666666667,86,Pro,annual,True,True,True,True,3.0,43.666666666666664,63.666666666666664,4.666666666666667,0.0,1.0,83,821,251210,80,34,48,0.060240963855421686,2024-12-22,9,1.0,2.0,2024-12-31,support,62.66,False,1,1.0465116279069768,383.2763565891473,0.058465286236297195,0.944,High Engagement
A-1f0ac7,Company_3,HealthTech,UK,2023-08-27,other,Basic,24,True,False,7,1325.0,80234.06666666667,393,Pro,monthly,True,True,False,False,2.0,29.0,174.0,,0.0,1.0,41,382,102528,40,26,21,0.12195121951219512,2024-12-11,20,1.0,1.0,2024-11-08,support,0.0,False,1,0.15267175572519084,204.1579304495335,0.0549738219895288,0.3036666666666667,Low Engagement
A-ce550d,Company_4,HealthTech,US,2024-10-27,event,Enterprise,35,False,True,9,5417.888888888889,45129.83333333333,64,Enterprise,monthly,True,True,False,True,7.0,42.285714285714285,107.85714285714286,3.8,0.14285714285714285,4.0,58,579,215779,56,32,31,0.06896551724137931,2024-12-23,8,1.0,1.0,2024-12-28,budget,0.0,False,1,3.28125,705.1536458333333,0.0535405872193437,0.7033333333333333,High Engagement
A-1b9609,Company_5,EdTech,IN,2023-10-12,ads,Enterprise,4,False,False,11,1528.1818181818182,111245.93333333333,396,Enterprise,annual,True,False,False,True,4.0,43.0,74.75,3.0,0.0,3.0,47,457,140541,44,28,21,0.1276595744680851,2024-11-20,41,1.0,3.0,2024-11-16,unknown,0.0,False,1,0.30303030303030304,280.9240740740741,0.045951859956236324,0.42700000000000005,Medium Engagement
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,False,False,9,1848.111111111111,67469.23333333334,290,Enterprise,monthly,True,False,False,False,6.0,39.166666666666664,89.83333333333333,3.8,0.5,2.0,39,373,116964,39,26,14,0.07692307692307693,2024-12-17,14,0.0,0.0,,not_churned,0.0,,0,0.6206896551724138,232.6525287356322,0.03753351206434316,0.291,Low Engagement
A-e5d6ab,Company_7,EdTech,US,2023-04-15,partner,Pro,3,False,False,10,1304.8,121885.43333333333,600,Pro,annual,True,False,False,True,3.0,42.666666666666664,57.0,,0.0,2.0,41,382,111506,39,29,23,0.12195121951219512,2024-12-02,29,1.0,2.0,2024-05-11,competitor,0.0,False,1,0.15,203.1423888888889,0.060209424083769635,0.37000000000000005,Medium Engagement
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,False,True,10,2305.7,39442.566666666666,112,Pro,annual,True,True,False,False,4.0,32.5,75.25,3.6666666666666665,0.0,4.0,48,472,145429,48,27,29,0.10416666666666667,2024-12-29,2,1.0,3.0,2024-12-27,budget,0.0,False,1,1.0714285714285714,352.1657738095238,0.0614406779661017,0.4423333333333333,Medium Engagement
A-10b8da,Company_9,DevTools,US,2023-05-08,partner,Enterprise,14,False,True,6,1464.5,61722.86666666667,571,Pro,monthly,True,True,False,True,3.0,31.333333333333332,71.33333333333333,3.5,0.0,2.0,27,257,73818,26,23,14,0.07407407407407407,2024-12-23,8,0.0,0.0,,not_churned,0.0,,1,0.15761821366024517,108.09608873321658,0.054474708171206226,0.12266666666666666,Low Engagement
